[14:52:11,863] 
message:
err_desc:在其上下文中，该请求的地址无效。
stacktrace:   在 System.Net.Sockets.Socket.DoBind(EndPoint endPointSnapshot, SocketAddress socketAddress)
   在 System.Net.Sockets.Socket.Bind(EndPoint localEP)
   在 AsyncSocketLibrary.Common.Server.SocketListener.StartListen() 位置 d:\GitHubData\AsyncSocketLibrary\Common\Server\SocketListener.cs:行号 65
   在 AsyncSocketLibrary.Common.Server.SocketListener..ctor(Func`2 dataProcessor) 位置 d:\GitHubData\AsyncSocketLibrary\Common\Server\SocketListener.cs:行号 51
   在 TestServer.MainClass.Main(String[] args) 位置 d:\GitHubData\AsyncSocketLibrary\TestServer\Program.cs:行号 20
source:System ERROR [AsyncSocketLibrary.Common.LogManager.Log] [1]
[14:53:29,357] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,357] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,359] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,359] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,361] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,361] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,363] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,365] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,366] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,366] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,367] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,373] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,373] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,374] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,376] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,376] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,378] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,378] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,384] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,384] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,389] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,389] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,391] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,391] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,394] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,394] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,394] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,395] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,398] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,399] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,400] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,403] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,404] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,406] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,407] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,409] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,409] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,412] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,412] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,414] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,414] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,415] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,416] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,417] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,421] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,421] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,423] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,423] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,426] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,426] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,429] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,429] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,433] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,433] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,435] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,435] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,438] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,438] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,440] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,441] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,444] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,444] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,447] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,447] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,450] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,450] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,453] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,455] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,455] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,456] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,458] th id:5 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [5]
[14:53:29,458] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
[14:53:29,463] th id:6 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [6]
[14:53:29,463] th id:7 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [7]
[14:53:29,465] th id:3 INFO  [AsyncSocketLibrary.Common.LogManager.Log] [3]
